ofac_id,grb_id,Type,Name,name_matches,atleast_1_date_of_births_matches,atleast_1_aliases_matches,atleast_1_id_numbers_matches
11355,10908,Individual,Fazeel-A-Tul Shaykh Abu Mohammed AMEEN AL-PESHAWARI,true,true,false,false
11373,10906,Individual,Arif QASMANI,true,true,false,
11376,10907,Individual,Mohammed Yahya MUJAHID,true,true,false,true
11387,8714,Individual,Sylvestre MUDACUMURA,true,false,false,
11388,10672,Individual,Callixte MBARUSHIMANA,true,true,,
11389,10678,Individual,Pacifique NTAWUNGUKA,true,true,false,
11390,10679,Individual,Leopold MUJYAMBERE,true,true,false,
11391,10674,Individual,Stanislas NZEYIMANA,true,true,false,
11441,10448,Entity,KHORASAN METALLURGY INDUSTRIES,true,,false,false
11442,11126,Entity,KAVEH CUTTING TOOLS COMPANY,true,,false,false
11443,11125,Entity,AMIN INDUSTRIAL COMPLEX,true,,false,false
11446,10449,Entity,NIRU BATTERY MANUFACTURING COMPANY,true,,false,false
11493,11052,Individual,Muthanna Harith AL-DARI,true,true,false,
11532,10909,Entity,NAMCHONGANG TRADING CORPORATION,true,,false,false
11533,10910,Entity,HONG KONG ELECTRONICS,true,,false,false
11741,11095,Individual,Fares Mohammed MANA'A,true,true,false,true
11743,8425,Individual,Hassan Abdullah Hersi AL-TURKI,true,true,false,
11744,6995,Individual,Hassan Dahir AWEYS,true,false,false,
11745,11092,Individual,Fuad Mohamed KHALAF,true,,false,
11746,11091,Individual,Ahmed Abdi AW-MOHAMED,true,true,false,
11747,10929,Individual,Yasin Ali BAYNAH,true,false,false,
11748,11093,Individual,Bashir Mohamed MAHAMOUD,true,,false,
11786,11236,Individual,Rostam QASEMI,true,false,false,false
11974,8738,Individual,Thomas LUBANGA,true,false,false,
11975,8735,Individual,Germain KATANGA,true,true,,
11977,8709,Individual,Jules MUTEBUTSI,true,false,false,
11982,11123,Individual,Qasim AL-RIMI,false,true,true,true
12022,11096,Individual,Mohamed BELKALEM,true,true,false,
12030,11209,Entity,JAVEDAN MEHR TOOS,true,,,false
